API,LeaseName,WellNumber,WellStatus,WellType,OperatorCode,OperatorName,FieldName,AreaName,District,CountyName,BaseMeridian,Section,Township,Range,Latitude,Longitude,GISSource,isConfidential,isDirectionallyDrilled,SpudDate,WellSymbol
0410700234,Lease by Lindsay Community Dev. Assoc.,3,Plugged,DH,05345,Lindsay Community Dev. Assoc.,Any Field,Any Area,Inland,Tulare,MD,30,20S,27E,36.16662216,-119.0961075,hud,N,N,,PluggedDH
0410700236,Gold Sands,1,Plugged,DH,03465,Gold Sands Petroleum,Any Field,Any Area,Inland,Tulare,MD,32,20S,27E,36.14151001,-119.0767517,hud,N,N,,PluggedDH
0410700243,Hewitt,1,Plugged,DH,A4550,Arco Western Energy Co.,Any Field,Any Area,Inland,Tulare,MD,01,21S,25E,36.1297226,-119.2309952,hud,N,N,,PluggedDH
0410700245,Hoffman,24,Plugged,DH,C5640,Chevron U.S.A. Inc.,Any Field,Any Area,Inland,Tulare,MD,33,21S,25E,36.05978394,-119.2826004,hud,N,N,,PluggedDH
0410700252,Core Hole,76-21,Plugged,CH,C5640,Chevron U.S.A. Inc.,Any Field,Any Area,Inland,Tulare,MD,21,21S,26E,36.08452988,-119.1643829,hud,N,N,,PluggedCH
0410700254,Core Hole,54-34,Plugged,CH,C5640,Chevron U.S.A. Inc.,Any Field,Any Area,Inland,Tulare,MD,34,21S,26E,36.05982208,-119.1499939,hud,N,N,,PluggedCH
0410700259,Castle,1,Plugged,DH,06581,Pacific Exploration Corp.,Any Field,Any Area,Inland,Tulare,MD,17,21S,27E,36.10411835,-119.0722885,hud,N,N,,PluggedDH
0410700261,Andrews-Prestage,1,Plugged,DH,08595,Tule River Syndicate,Any Field,Any Area,Inland,Tulare,MD,32,21S,27E,36.06077194,-119.0716705,hud,N,N,,PluggedDH
0410700286,Solar,1,Plugged,DH,B1600,Barnes Core Drilling Co.,Any Field,Any Area,Inland,Tulare,MD,03,22S,27E,36.04788589,-119.0524674,hud,N,N,,PluggedDH
0410720007,Franken,1,Plugged,DH,03735,H. Wayne Hoylman,Any Field,Any Area,Inland,Tulare,MD,25,20S,26E,36.15452194,-119.108963,hud,N,N,,PluggedDH
0410720019,Roberts Farms,1-14,Plugged,DH,C5640,Chevron U.S.A. Inc.,Any Field,Any Area,Inland,Tulare,MD,14,21S,26E,36.097332,-119.1368256,hud,N,N,,PluggedDH
0410720053,D & W,1,Plugged,DH,03735,H. Wayne Hoylman,Any Field,Any Area,Inland,Tulare,MD,25,20S,26E,36.16207504,-119.1098938,hud,N,N,,PluggedDH
0410720090,Leal,36,Plugged,DH,T0300,Tannehill Oil Company,Any Field,Any Area,Inland,Tulare,MD,28,21S,25E,36.07120132,-119.2803802,hud,N,N,,PluggedDH
0410720107,Cederquist,55-34,Plugged,DH,T0300,Tannehill Oil Company,Any Field,Any Area,Inland,Tulare,MD,34,20S,25E,36.14473343,-119.2502899,hud,N,N,,PluggedDH
0410720123,Fernandes,1,Plugged,DH,09134,Western Meridian Oil,Any Field,Any Area,Inland,Tulare,MD,19,21S,26E,36.0815239,-119.1981964,hud,N,N,,PluggedDH
0410720146,Cornell,1,Plugged,DH,06882,Plyler Oil Operations,Any Field,Any Area,Inland,Tulare,MD,34,21S,27E,36.05207825,-119.04245,hud,N,N,,PluggedDH
0410720182,Torrez,A-1,Plugged,DH,R0550,Redi Corp.,Any Field,Any Area,Inland,Tulare,MD,16,21S,24E,36.10886002,-119.3832321,hud,N,N,,PluggedDH
0403100588,Blanchard-Lake,2,Plugged,DH,05187,Lake Oil Co.,Any Field,Any Area,Inland,Kings,MD,22,18S,22E,36.35421371,-119.5814438,hud,N,N,05/17/1951,PluggedDH
0403100593,Lease by Turner & Goldsberry,1,Plugged,DH,08601,Turner & Goldsberry,Any Field,Any Area,Inland,Kings,MD,08,18S,23E,36.37202835,-119.4934921,hud,N,N,03/01/1922,PluggedDH
0403120005,Hahesy,36-1,Plugged,DH,09217,Willett Flying Service Inc.,Any Field,Any Area,Inland,Kings,MD,36,19S,22E,36.23707199,-119.536293,hud,N,N,03/25/1967,PluggedDH
0403120026,KCL Kautz,1,Plugged,DH,A4500,Arco Oil and Gas Co.,Any Field,Any Area,Inland,Kings,MD,14,17S,22E,36.45885086,-119.5638428,hud,N,N,12/15/1967,PluggedDH
0403100631,Boswell,1,Plugged,DH,C5640,Chevron U.S.A. Inc.,Any Field,Any Area,Inland,Kings,MD,24,21S,21E,36.09352493,-119.6539917,hud,N,N,12/06/1956,PluggedDH
0403100600,Mills,58-8,Plugged,DH,C5640,Chevron U.S.A. Inc.,Any Field,Any Area,Inland,Kings,MD,08,19S,22E,36.28473663,-119.6086731,hud,N,N,04/30/1952,PluggedDH
0403100845,Seaboard-Continental,66-2,Plugged,DH,C5640,Chevron U.S.A. Inc.,Any Field,Any Area,Inland,Kings,MD,02,19S,22E,36.30266571,-119.5500794,hud,N,N,10/01/1943,PluggedDH
0403100576,Souza,14-33,Plugged,DH,C5640,Chevron U.S.A. Inc.,Any Field,Any Area,Inland,Kings,MD,33,17S,22E,36.4092865,-119.5993805,hud,N,N,06/07/1943,PluggedDH
0401906187,Gravander,1,Plugged,DH,02395,E. G. Erickson,Any Field,Any Area,Inland,Fresno,MD,22,16S,22E,36.52246857,-119.5614243,hud,N,N,09/07/1939,PluggedDH
0403100839,Trane-Cass,1,Plugged,DH,03206,G. Hamilton Beasley,Any Field,Any Area,Inland,Kings,MD,24,20S,22E,36.16827774,-119.5326767,hud,N,N,12/12/1952,PluggedDH
0403120162,Salyer,1-16,Plugged,DH,P3875,Freeport-McMoRan Oil & Gas LLC,Any Field,Any Area,Inland,Kings,MD,16,20S,22E,36.18266678,-119.5930099,hud,N,N,05/04/1979,PluggedDH
0403100213,Drummond-Union,1-5,Plugged,DH,06425,Oilfield Equipment & Supply Co.,Hanford (ABD),Any Area,Inland,Kings,MD,36,18S,22E,36.31870651,-119.5426178,hud,N,N,10/06/1951,PluggedDH
0403100212,Drummond-Union,3,Plugged,DH,03507,Goshen Syndicate,Hanford (ABD),Any Area,Inland,Kings,MD,36,18S,22E,36.31603622,-119.5383911,hud,N,N,10/06/1951,PluggedDH
